"Year","Week","Pounds","Calories"
2010,26,127.75,9740.57
2010,27,127,11767.68
2010,28,64.5,5314.07
2010,29,145.5,10800.66
2010,30,39.5,3241.56
2010,31,44.5,7249.245
2010,32,47.5,4392.45
2010,33,33.5,2678.6
2010,34,86.5,7034.73
2010,35,74,12437.33
2010,36,79.75,6432.045
2010,37,11,749.1
2010,38,21.75,2032.785
2010,39,3.5,238.35
2010,40,5.5,599.28
2011,24,4.25,366.605
2011,25,55.5,8007.425
2011,26,24,2987.32
2011,27,62.25,6832.7
2011,28,171.25,17038.62
2011,29,135.5,14700.52
2011,30,87.75,13942.34
2011,31,72.25,7511.43
2011,32,101,18778.575
2011,33,110,9890.39
2011,34,105.25,10015.24
2011,35,42.25,5075.72
2011,36,126,11970.845
2011,37,79.5,6696.5
2011,38,25.5,2620.715
2011,39,11.75,2298.375
2011,40,13.5,1770.6
2011,41,41.5,6810
2012,25,45,3196.16
2012,26,200.5,18913.64
2012,27,122.75,9297.92
2012,28,258.75,22255.08
2012,29,131,9926.71
2012,30,135,12322.695
2012,31,180.73,20981.0652
2012,32,144,11942.47
2012,33,305,26310.435
2012,34,225.5,16203.26
2012,35,86.25,7731.62
2012,36,36.25,2571.91
2012,37,3.5,254.24
2012,38,8,976.1
2012,40,19,1623.05
2013,22,8,544.8
2013,23,13,1838.7
2013,24,12.5,2111.1
2013,25,20.25,2341.505
2013,26,62.25,5413.95
2013,27,107.75,10354.605
2013,28,49,4608.1
2013,29,68.5,15588.09
2013,30,25.5,3459.48
2013,31,39.25,3372.085
2013,32,65.5,5538.8
2013,33,33.75,2828.42
2013,34,55.25,4729.545
2013,35,14.25,1366.54
2013,36,20.75,2527.645
2013,37,6.5,610.63
2013,38,6,653.76
2014,23,4.25,289.425
2014,24,21.5,1470.96
2014,25,26.25,2827.285
2014,26,187.5,22395.82
2014,27,216.5,24383.205
2014,28,197.75,22845.28
2014,29,225.75,18777.44
2014,30,372.75,32678.92
2014,31,203.25,21494.63
2014,32,176.25,16339.46
2014,33,251,23471.8
2014,34,188.5,17371.175
2014,35,178,15806.01
2014,36,84.5,7472.84
2014,37,54,3877.16
2014,38,102.25,10326.23
2014,39,67,7854.2
2014,40,13,1816
2014,41,39,4826.02
2014,42,13,2633.2
2014,43,12,1543.6
2015,22,44.75,3595.68
2015,23,79.25,7168.66
2015,24,91.6,8534.065
2015,25,158.75,16796.865
2015,26,233,20620.68
2015,27,259,26490.9
2015,28,198.75,21848.75
2015,29,205,17652.655
2015,30,168.5,18097.575
2015,31,254.5,20625.22
2015,32,275.25,28640.59
2015,33,224.5,17308.75
2015,34,108.5,8254.855
2015,35,68,5687.485
2015,36,70.25,6084.735
2015,37,87.25,7654.44
2015,38,49.5,4937.25
2015,39,4,780.88
2016,23,37,3244.965
2016,24,45,5806.66
2016,25,152.95,13424.78
2016,26,129.25,13759.605
2016,27,156.25,15908.16
2016,28,68,6705.58
